     n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
   228,     2897,       1600,     10654,      2920,         462,       8553
   229,     2909,       1616,      8242,      2911,         470,       7440
   230,     2923,       1622,      9471,      2917,         475,      14118
   231,     2952,       1636,     10200,      2958,         469,       7571
   232,     2966,       1648,     12558,      3034,         475,       9505
   233,     2976,       1652,      7559,      3165,         463,      10466
   234,     2974,       1650,     11251,      3298,         449,      10477
   235,     3010,       1674,      8039,      3149,         469,       9619
   236,     3014,       1678,     10074,      3194,         476,       9241
   237,     3032,       1693,      7631,      3075,         477,       5925
   238,     3057,       1692,     10374,      3244,         484,      11289
   239,     3059,       1692,     12414,      3186,         487,       7222
   240,     3073,       1708,     11737,      3211,         488,       9199
   241,     3099,       1721,      8889,      3035,         504,       6998
   242,     3123,       1733,     10091,      3155,         474,       7868
   243,     3122,       1736,      9027,      3260,         493,       7451
   244,     3143,       1743,     10808,      3253,         493,      11888
   245,     3146,       1753,      8403,      3269,         497,       6747
   246,     3162,       1754,     10368,      3244,         496,       6442
   247,     3190,       1774,      9020,      3468,         490,       7260
   248,     3199,       1778,      7877,      3226,         500,       8397
   249,     3201,       1775,      7671,      3271,         501,       8109
   250,     3227,       1787,      7483,      3370,         513,       8510
   251,     3247,       1800,      7959,      3433,         515,      10318
   252,     3255,       1798,     12413,      3514,         514,      11734
   253,     3278,       1823,      9903,      3458,         514,      10291
   254,     3297,       1823,     11206,      3433,         511,       9629
   255,     3313,       1824,     10714,      3506,         517,      16735
   256,     3333,       1846,      9403,      3615,         520,      13772
   257,     3335,       1850,     11257,      3524,         506,      10058
   258,     3357,       1851,     13716,      3516,         528,      12537
   259,     3366,       1859,     11067,      3519,         526,      13601
   260,     3394,       1875,      7745,      3563,         535,       9740
   261,     3420,       1891,      8544,      3476,         543,       7514
   262,     3428,       1892,      8085,      3733,         528,       8122
   263,     3445,       1911,      8550,      3602,         541,      10428
   264,     3452,       1907,     12055,      3629,         542,       7388
   265,     3467,       1913,      8098,      3607,         553,      10893
   266,     3483,       1919,     17806,      3621,         530,      12370
   267,     3513,       1941,     16424,      3534,         551,       9597
   268,     3527,       1959,     11188,      3690,         544,       7713
   269,     3538,       1963,      8114,      3677,         556,       9142
   270,     3559,       1969,     10981,      3579,         560,       8781
   271,     3580,       1984,      8402,      3571,         568,       9490
   272,     3575,       1989,     12718,      3686,         574,      10819
   273,     3597,       1993,     13189,      3745,         561,       9809
   274,     3617,       1999,     10989,      3777,         585,       7619
   275,     3635,       2005,     10038,      3778,         568,       9039
   276,     3645,       2024,     13339,      3834,         562,      10808
   277,     3665,       2029,     10488,      3747,         571,       7891
   278,     3684,       2030,      8978,      3664,         606,      10798
   279,     3678,       2029,     12347,      3757,         590,       7992
   280,     3703,       2042,      9571,      3904,         586,       8815
   281,     3729,       2064,      9518,      3770,         574,       9952
   282,     3741,       2072,     10580,      3929,         584,      12035
   283,     3762,       2077,     11150,      3862,         605,      12053
   284,     3773,       2085,     12929,      3839,         586,       9019
   285,     3781,       2092,     12247,      4008,         583,      16499
   286,     3809,       2103,     12645,      3783,         602,       7764
   287,     3816,       2111,      8840,      3868,         595,       8570
   288,     3838,       2115,      8652,      3921,         605,      18101
   289,     3847,       2119,     12254,      3986,         592,      19498
   290,     3863,       2128,     10267,      4015,         600,      17292
   291,     3885,       2144,     10686,      3905,         612,      10774
   292,     3893,       2143,     19444,      4060,         597,       9705
   293,     3915,       2165,     19483,      3931,         633,       9359
   294,     3913,       2158,      9131,      4097,         612,       9315
   295,     3942,       2174,     13970,      4107,         621,       8753
   296,     3953,       2191,      9094,      4026,         624,       8991
   297,     3981,       2187,     10374,      4163,         624,       9828
   298,     3999,       2192,      9567,      4126,         626,       9696
   299,     4002,       2213,     10499,      4065,         617,       9299
   300,     4036,       2233,      9334,      4086,         627,      10666
   301,     4047,       2235,     11031,      4192,         629,      10438
   302,     4063,       2244,      9405,      4184,         637,       8806
   303,     4066,       2244,      9507,      4167,         635,      10222
   304,     4094,       2263,     13053,      4139,         629,       9450
   305,     4118,       2258,      9984,      4183,         623,      10147
   306,     4119,       2278,      9575,      4140,         641,       8901
   307,     4134,       2279,      9321,      4312,         654,       9921
   308,     4161,       2295,     20105,      4416,         649,      10895
   309,     4171,       2293,     10115,      4402,         644,       9735
   310,     4194,       2307,     12642,      4318,         646,       8478
   311,     4210,       2313,     10810,      4319,         640,      10063
   312,     4221,       2316,     11865,      4276,         652,       8959
   313,     4235,       2324,     14321,      4336,         643,      10108
   314,     4253,       2349,     10149,      4415,         659,       8729
   315,     4282,       2348,     12582,      4352,         662,       8661
   316,     4290,       2360,     16914,      4365,         669,       8779
   317,     4300,       2359,     12443,      4335,         668,      18305
   318,     4320,       2385,     22702,      4524,         664,      15784
   319,     4344,       2390,     15866,      4494,         660,      15858
   320,     4353,       2399,     17955,      4499,         663,      15915
   321,     4373,       2407,     18037,      4530,         676,      16228
   322,     4400,       2421,     18118,      4552,         678,      16329
   323,     4399,       2419,     18158,      4537,         671,      16307
   324,     4416,       2426,     17761,      4704,         681,      15791
   325,     4452,       2441,     12072,      4642,         681,      11998
   326,     4464,       2447,     13487,      4820,         677,      11907
   327,     4464,       2454,     10099,      4678,         698,      11277
   328,     4478,       2465,     11047,      4636,         687,      11755
   329,     4494,       2463,     13196,      4545,         716,      11823
   330,     4513,       2485,     10933,      4964,         686,      20777
   331,     4530,       2485,     11865,      4583,         709,      10577
   332,     4553,       2496,     12271,      4674,         710,       9280
   333,     4563,       2508,     14492,      4762,         699,      21616
   334,     4578,       2520,     14498,      4780,         700,      19828
   335,     4603,       2530,     17711,      4739,         704,      20867
   336,     4623,       2542,     18390,      4766,         706,      16497
   337,     4640,       2544,     20821,      5230,         698,      17317
   338,     4663,       2568,     21751,      4672,         709,      13003
   339,     4689,       2571,     17865,      4773,         704,      11166
   340,     4709,       2595,     13908,      4773,         718,      13515
   341,     4706,       2571,     15302,      4595,         729,      11040
   342,     4726,       2603,     12601,      4885,         721,      11539
   343,     4749,       2610,     11727,      4697,         733,      12175
   344,     4749,       2611,     15093,      4665,         740,      14053
   345,     4786,       2629,     17884,      4776,         741,      16267
   346,     4792,       2625,     15767,      4882,         745,      11029
   347,     4824,       2648,     12485,      4814,         746,      17038
   348,     4834,       2657,     19549,      4825,         745,      21553
   349,     4822,       2647,     13942,      4894,         740,      12025
   350,     4854,       2673,     14434,      5338,         728,      10111
   351,     4877,       2682,     11424,      4894,         762,      10460
   352,     4905,       2699,     18219,      5133,         748,      10858
   353,     4913,       2709,     12423,      5130,         772,      10446
   354,     4929,       2703,     11541,      5134,         761,      15832
   355,     4948,       2719,     17323,      5241,         756,       9745
   356,     4954,       2716,     11320,      4971,         762,      12623
   357,     4990,       2738,     20965,      5277,         765,      14458
   358,     5010,       2762,     25775,      5040,         756,      18267
   359,     5021,       2761,     16401,      5111,         759,      20510
   360,     5031,       2765,     11249,      5127,         768,      10796
   361,     5058,       2791,     13975,      5132,         774,      13766
   362,     5067,       2784,     18995,      5256,         768,      13701
   363,     5086,       2794,     18081,      5049,         789,      15910
   364,     5103,       2798,     19076,      5283,         776,      20338
   365,     5114,       2805,     16489,      5069,         791,      10152
   366,     5128,       2816,     11993,      5148,         814,      11399
   367,     5152,       2819,     12813,      5289,         793,      15800
   368,     5172,       2834,     12687,      5384,         805,      10966
   369,     5183,       2842,     14030,      5301,         811,      13507
   370,     5205,       2856,     13071,      5166,         807,      11562
   371,     5202,       2845,     15418,      5174,         808,      10775
   372,     5241,       2867,     17391,      5301,         800,      10681
   373,     5243,       2873,     13660,      5392,         811,      11997
   374,     5259,       2888,     13270,      5621,         806,      14011
   375,     5278,       2899,     12468,      5513,         807,      13342
   376,     5302,       2899,     15570,      5626,         812,      11167
   377,     5322,       2922,     14392,      5564,         829,      12644
   378,     5341,       2929,     18490,      5451,         815,      11767
   379,     5343,       2923,     17292,      5478,         816,      14496
   380,     5349,       2927,     14549,      5556,         834,      14818
   381,     5376,       2948,     12839,      5372,         822,      20690
   382,     5395,       2956,     27234,      5562,         840,      24360
   383,     5402,       2965,     30147,      5563,         809,      14268
   384,     5427,       2965,     17497,      5540,         851,      13927
   385,     5461,       2988,     18250,      5612,         833,      14033
   386,     5472,       3005,     18310,      5613,         846,      15205
   387,     5498,       3018,     19787,      5638,         851,      12602
   388,     5502,       3016,     17113,      5683,         842,      15795
   389,     5524,       3020,     12858,      5752,         844,      13175
   390,     5551,       3061,     20171,      5657,         836,      14203
   391,     5556,       3052,     17624,      5625,         838,      17618
   392,     5554,       3048,     13020,      5738,         840,      11772
   393,     5587,       3073,     14541,      5650,         866,      17839
   394,     5629,       3096,     24638,      5747,         845,      14550
   395,     5625,       3089,     15766,      5756,         852,      11653
   396,     5646,       3095,     16358,      5967,         860,      12660
   397,     5669,       3107,     12669,      5663,         867,      15289
   398,     5679,       3112,     19032,      5809,         862,      17483
