   n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 191,     2441,       1400,      6563,      1539,         261,       4616
 192,     2454,       1406,      5828,      1551,         263,       3917
 193,     2471,       1415,      7357,      1653,         262,       3334
 194,     2487,       1425,      6962,      1664,         261,       3570
 195,     2503,       1432,      7092,      1672,         263,       9603
 196,     2515,       1441,     10508,      1695,         267,       6539
 197,     2533,       1447,      7825,      1592,         269,       9301
 198,     2546,       1458,      8576,      1616,         267,       5715
 199,     2565,       1466,     10094,      1605,         262,       8349
 200,     2580,       1474,     10327,      1613,         262,       3604
 201,     2589,       1478,     12057,      1634,         271,       6714
 202,     2607,       1489,     11008,      1640,         276,       3331
 203,     2625,       1498,     15950,      1673,         280,       5114
 204,     2640,       1511,      5810,      1669,         285,       4458
 205,     2656,       1516,     16077,      1682,         279,       4588
 206,     2672,       1530,      5645,      1699,         272,       9030
 207,     2689,       1536,     11708,      1697,         280,       3437
 208,     2705,       1551,      9883,      1712,         283,       9201
 209,     2722,       1556,     10821,      1724,         276,       4727
 210,     2736,       1566,      7901,      1734,         277,       9734
 211,     2752,       1572,      8913,      1742,         283,       4194
 212,     2766,       1581,      7152,      1747,         283,       9393
 213,     2781,       1586,     10846,      1799,         290,       3538
 214,     2796,       1599,      6604,      1800,         290,       9826
 215,     2815,       1608,     10244,      1813,         289,       4664
 216,     2825,       1613,     11636,      1832,         294,      10651
 217,     2840,       1623,      7869,      1917,         290,       3624
 218,     2857,       1629,     16699,      1931,         292,       4866
 219,     2876,       1644,      7593,      1966,         302,       5077
 220,     2892,       1654,     16572,      1981,         300,       4023
 221,     2908,       1660,      6872,      1865,         310,       7058
 222,     2921,       1669,     15557,      1880,         307,       5393
 223,     2939,       1679,     16175,      1868,         290,       9314
 224,     2952,       1687,      9589,      1885,         294,       4120
 225,     2966,       1695,     18191,      1888,         301,       3652
 226,     2985,       1704,      6753,      1905,         302,       7051
 227,     3002,       1715,     14781,      1886,         297,       3792
 228,     3016,       1722,      7209,      1899,         299,      10298
 229,     3035,       1732,     10690,      2025,         295,       4643
 230,     3047,       1741,     10049,      2035,         300,      11357
 231,     3064,       1747,      7511,      1913,         303,       4044
 232,     3078,       1753,     14204,      1926,         307,       7760
 233,     3095,       1765,      8477,      1936,         312,      10123
 234,     3109,       1772,     16217,      1944,         310,       4369
 235,     3126,       1783,     11677,      1958,         308,       5051
 236,     3140,       1793,     10779,      1974,         313,       8997
 237,     3155,       1794,      8943,      2077,         308,       5599
 238,     3172,       1812,     10915,      2089,         307,       5176
 239,     3188,       1819,      7691,      1994,         320,       5451
 240,     3203,       1823,      9399,      2006,         322,       4657
 241,     3218,       1827,     11761,      2015,         323,       6227
 242,     3233,       1837,     10810,      2033,         324,       5570
 243,     3249,       1856,      8375,      2041,         319,       5592
 244,     3264,       1865,      7690,      2054,         326,       6266
 245,     3285,       1875,     10982,      2052,         323,       7435
 246,     3295,       1878,     10963,      2061,         316,       5020
 247,     3310,       1885,     13079,      2117,         326,       4889
 248,     3323,       1897,      9625,      2130,         330,       6073
 249,     3341,       1903,      9487,      2103,         336,       5032
 250,     3356,       1916,      8352,      2098,         322,       4767
 251,     3368,       1919,      9490,      2111,         339,       4544
 252,     3386,       1923,      9630,      2120,         341,       4452
 253,     3400,       1929,      8276,      2251,         347,       6646
 254,     3413,       1940,     17024,      2245,         346,       9845
 255,     3428,       1951,     18207,      2169,         331,       5914
 256,     3448,       1965,      8521,      2263,         342,       4815
 257,     3467,       1973,     10317,      2361,         345,       5451
 258,     3483,       1983,     10093,      2375,         346,       5507
 259,     3493,       1988,     11677,      2189,         333,       7243
 260,     3516,       1999,     12150,      2208,         337,       7015
 261,     3531,       2010,      8453,      2253,         349,       5590
 262,     3549,       2017,     11361,      2272,         358,       8836
 263,     3568,       2029,     12364,      2245,         348,       5758
 264,     3580,       2040,      9049,      2247,         342,       6329
 265,     3601,       2052,      8862,      2279,         358,       4798
 266,     3619,       2055,      9725,      2270,         358,       4865
 267,     3638,       2068,      8916,      2281,         347,       6010
 268,     3651,       2080,     15306,      2280,         344,       6838
 269,     3669,       2087,     10461,      2317,         358,       4840
 270,     3689,       2099,      8795,      2317,         359,       4628
 271,     3711,       2106,      9409,      2322,         365,       4889
 272,     3726,       2115,      8219,      2337,         369,       4754
 273,     3746,       2124,     11041,      2350,         361,       4697
 274,     3757,       2137,      8614,      2379,         368,       5296
 275,     3772,       2142,      8706,      2373,         366,      10938
 276,     3794,       2156,      8968,      2384,         366,       5786
 277,     3810,       2164,     15509,      2423,         363,       4958
 278,     3826,       2174,      8849,      2378,         365,       4976
 279,     3848,       2180,     10549,      2470,         384,       5837
 280,     3863,       2193,      9303,      2480,         383,       4969
 281,     3883,       2204,     11163,      2477,         388,       4828
 282,     3900,       2210,      8806,      2487,         389,       5547
 283,     3923,       2225,      9134,      2520,         381,       5334
 284,     3935,       2231,     10004,      2508,         383,       4961
 285,     3954,       2242,      9430,      2660,         395,       6964
 286,     3967,       2249,      9325,      2672,         394,       5983
 287,     3986,       2258,     10079,      2491,         389,       4970
 288,     4008,       2272,     10565,      2501,         392,       5539
 289,     4024,       2280,     10423,      2557,         387,       5504
 290,     4040,       2292,      8921,      2548,         393,       6455
 291,     4060,       2305,      9146,      2538,         398,       6322
 292,     4079,       2315,     15954,      2525,         392,       6248
 293,     4098,       2320,     11654,      2573,         396,       5183
 294,     4111,       2326,     10601,      2586,         398,       7367
 295,     4128,       2337,      9746,      2643,         397,       6666
 296,     4145,       2347,     11478,      2642,         397,       7400
 297,     4168,       2364,     10612,      2565,         392,       6768
 298,     4182,       2369,     11819,      2601,         392,       8132
 299,     4201,       2379,      9956,      2614,         403,       5196
 300,     4220,       2388,     12901,      2614,         402,       5710
 301,     4238,       2395,     12520,      2605,         393,       5214
 302,     4254,       2404,     12761,      2616,         395,       5899
 303,     4269,       2414,     10857,      2616,         394,       5274
 304,     4288,       2427,     11948,      2619,         395,       5071
